COMPANYNAME,COUNTY,ZIP,PROGRAM,ORIGINAL_ESTIMATED_VALUE,INVESTMENT,STATUS,NEW_JOBS,RETAINED_JOBS,ORIGINAL_APPROVAL_DATE,WITHHOLDING_RATE_PERCENT,PAYROLL_RATE,TERM
1810 Campbell Street,Hamilton,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Completed,N/A,N/A,12/20/2016,N/A,N/A,N/A
1233 E MAIN,Franklin,,Ohio Historic Preservation Tax Credit,110000.0,N/A,Completed,N/A,N/A,12/12/2018,N/A,N/A,N/A
Whitelaw Building,Summit,,Ohio Historic Preservation Tax Credit,249999.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
Metropolitan Distributing Company,Lucas,,Ohio Historic Preservation Tax Credit,1639451.0,N/A,Servicing,N/A,N/A,12/17/2020,N/A,N/A,N/A
"AG Conversions Ohio, LLC",,,JCTC Job Creation Tax Credit,289288.0,9229000.00,Cancelled,60,0,03/26/2012,45.00,N/A,6
112 Corwine,Hamilton,,Ohio Historic Preservation Tax Credit,71346.0,N/A,Cancelled,N/A,N/A,06/26/2019,N/A,N/A,N/A
Westminster Presbyterian Church,Lucas,,Ohio Historic Preservation Tax Credit,1299531.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
"Leis Medical, Inc.",Montgomery,45377,JCTC Job Creation Tax Credit,142967.0,3500000.00,Cancelled,40,264,06/29/2009,N/A,N/A,7
"Carter Express, Inc.",Montgomery,45377,JCTC Job Creation Tax Credit,399323.0,5500000.00,Completed,140,0,10/26/2009,40.00,N/A,6
"Crocs, Inc.",Montgomery,45377,JCTC Job Creation Tax Credit,525000.0,17300000.00,Servicing,130,0,03/25/2019,N/A,1.540,8
"ContactUS, LLC",Franklin,43206,JCTC Job Creation Tax Credit,449512.0,900000.00,Completed,200,0,01/30/2012,50.00,N/A,6
Dura-Line Corporation,Lorain,44035-4826,JCTC Job Creation Tax Credit,220000.0,3000000.00,Servicing,60,129,12/05/2016,N/A,1.700,6
"Axium Plastics, LLC",Licking,43054,JCTC Job Creation Tax Credit,532957.0,16240000.00,Completed,165,0,03/28/2011,55.00,N/A,7
iQor Holdings US Inc.,Franklin,43054,JCTC Job Creation Tax Credit,824410.0,2000000.00,Completed,300,600,12/05/2011,55.00,N/A,5
"BEF Management, Inc.",Franklin,43054,JCTC Job Creation Tax Credit,2472567.0,39851000.00,Completed,150,360,06/27/2011,70.00,N/A,10
"Discover Products, Inc.",Franklin,43054-8730,JCTC Job Creation Tax Credit,4129191.0,76200000.00,Servicing,162,1581,05/21/2012,75.00,N/A,15
MEK Van Wert Inc,Van Wert,45891,JCTC Job Creation Tax Credit,100000.0,5000000.00,Completed,30,0,12/04/2017,N/A,1.245,7
"Graphic Packaging International, LLC",Hardin,43326-2298,JCTC Job Creation Tax Credit,436596.0,73000000.00,Servicing,125,532,04/28/2014,N/A,1.363,8
"MedPlus, Inc.",Warren,45040-8172,JCTC Job Creation Tax Credit,508226.0,29600000.00,Completed,62,338,04/25/2011,55.00,N/A,7
Norwood Tool Company,Montgomery,45404,JCTC Job Creation Tax Credit,86168.0,18500000.00,Servicing,100,524,08/25/2008,N/A,N/A,7
"Hohman Plating and Mfg., LLC",Montgomery,45404-1132,JCTC Job Creation Tax Credit,38442.0,500000.00,Completed,25,138,09/26/2011,35.00,N/A,5
"Celartia, Ltd.",Franklin,43229-1107,JCTC Job Creation Tax Credit,122677.0,390766.00,Cancelled,19,0,06/28/2010,45.00,N/A,6
"Mettler-Toledo, Inc.",Franklin,43229-1048,JCTC Job Creation Tax Credit,274745.0,1200000.00,Completed,25,100,02/28/2011,40.00,N/A,5
"SGP South Point, LLC",Lawrence,45680,JCTC Job Creation Tax Credit,718000.0,400000000.00,Cancelled,100,0,07/28/2014,55.00,N/A,8
Delphi Corporation,Montgomery,45377-9694,JCTC Job Creation Tax Credit,56191.0,7135000.00,Completed,100,134,09/27/2010,50.00,N/A,7
"PharmaForce, Inc.",Franklin,43054,JCTC Job Creation Tax Credit,879466.0,35000000.00,Completed,200,17,08/25/2008,N/A,N/A,2
"SEA, LTD.",Franklin,43229-1157,JCTC Job Creation Tax Credit,125000.0,0.00,Servicing,18,130,07/31/2017,N/A,1.520,6
1633 Vine St,Hamilton,,Ohio Historic Preservation Tax Credit,149777.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
City's Gospel,Hamilton,,Ohio Historic Preservation Tax Credit,187500.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
1705 Race St,Hamilton,,Ohio Historic Preservation Tax Credit,193379.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
"Advanced Drainage Systems, Inc.",Franklin,43026,JCTC Job Creation Tax Credit,3910000.0,8000000.00,Approved,200,322,08/29/2022,N/A,2.200,10
Pier 1 Imports Us Inc,Franklin,43123-2244,JCTC Job Creation Tax Credit,364430.0,4950000.00,Completed,165,133,06/30/2014,N/A,1.299,6
Rolls-Royce Fuel Cell Systems (US) Inc.,Stark,44720-7228,JCTC Job Creation Tax Credit,705737.0,4000000.00,Cancelled,48,32,12/07/2009,60.00,N/A,10
"EXEL, INC.",Franklin,43062-8042,JCTC Job Creation Tax Credit,0.0,16900000.00,Completed,583,1039,03/29/2010,50.00,N/A,8
"Darana Hybrid, Inc.",Butler,45011,JCTC Job Creation Tax Credit,1250000.0,15320000.00,Cancelled,65,0,01/30/2017,N/A,1.548,6
Union Home Mortgage Corp.,Cuyahoga,44136,JCTC Job Creation Tax Credit,4000000.0,10886851.00,Servicing,450,245,07/27/2020,N/A,1.477,10
CertainTeed Ceilings Corporation,Cuyahoga,44149,JCTC Job Creation Tax Credit,225000.0,2400000.00,Servicing,38,28,04/25/2022,N/A,1.398,7
HDI Landing Gear USA Inc,Cuyahoga,44149,JCTC Job Creation Tax Credit,604000.0,17075000.00,Servicing,65,42,01/27/2014,N/A,1.852,9
"Alene Candles Midwest, LLC",Licking,43031,JCTC Job Creation Tax Credit,214118.0,8200000.00,Servicing,135,0,03/28/2011,45.00,N/A,7
"Quanex IG Systems, Inc.",Guernsey,43725-9317,JCTC Job Creation Tax Credit,646175.0,7100000.00,Completed,162,170,12/05/2011,55.00,N/A,7
961-975 East McMillan Street,Hamilton,45206,Ohio Historic Preservation Tax Credit,1772054.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
"General Mills Operations, LLC",Jackson,45692,JCTC Job Creation Tax Credit,100000.0,100000000.00,Approved,30,974,08/29/2022,N/A,1.097,6
Peters Cartridge Factory,Warren,45039,Ohio Historic Preservation Tax Credit,2400000.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
"Nature Fresh Farms Usa, Inc.",Fulton,43515,JCTC Job Creation Tax Credit,497000.0,79200000.00,Cancelled,153,0,04/27/2015,55.00,N/A,8
"J. M. Smucker Company, The",Wayne,44667-1241,JCTC Job Creation Tax Credit,1864676.0,33000000.00,Servicing,300,605,01/26/2009,75.00,N/A,15
"Bardwil Industries, Inc.",Franklin,43204-3534,JCTC Job Creation Tax Credit,114286.0,1000000.00,Completed,50,0,07/28/2008,N/A,N/A,5
Steel Warehouse of Ohio LLC,Cuyahoga,44105-1023,JCTC Job Creation Tax Credit,159159.0,21400000.00,Cancelled,40,0,01/26/2009,N/A,N/A,6
"Loc Performance Products, LLC",Auglaize,45885,JCTC Job Creation Tax Credit,1530000.0,40000000.00,Approved,250,450,04/25/2022,N/A,N/A,9
University Tower Apartments,Cuyahoga,44106,Ohio Historic Preservation Tax Credit,2000000.0,N/A,Completed,N/A,N/A,07/25/2011,N/A,N/A,N/A
Windsor School,Hamilton,45206,Ohio Historic Preservation Tax Credit,900578.0,N/A,Completed,N/A,N/A,06/24/2014,N/A,N/A,N/A
Sid Tool Co Inc,Franklin,,JCTC Job Creation Tax Credit,989695.0,55750000.00,Servicing,125,0,07/30/2012,50.00,N/A,8
Engine House No. 6,Franklin,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Cancelled,N/A,N/A,06/28/2017,N/A,N/A,N/A
"Legend Athletic Wear, LLC",,,JCTC Job Creation Tax Credit,78000.0,1386750.00,Cancelled,80,0,08/31/2015,45.00,N/A,5
1815 Elm Street,Hamilton,,Ohio Historic Preservation Tax Credit,186000.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
1707 Pleasant,Hamilton,,Ohio Historic Preservation Tax Credit,84400.0,N/A,Servicing,N/A,N/A,06/26/2019,N/A,N/A,N/A
Fromm Building,Hamilton,45214,Ohio Historic Preservation Tax Credit,108500.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
"RIMECO PRODUCTS, INC.",Lake,44094-8032,JCTC Job Creation Tax Credit,200000.0,3600000.00,Servicing,38,38,10/29/2018,N/A,1.214,7
Thaler Machine Co.,Warren,45066-3052,JCTC Job Creation Tax Credit,167010.0,3800000.00,Completed,35,76,09/28/2009,N/A,N/A,4
Pepperidge Farm Incorporated,Huron,44890,JCTC Job Creation Tax Credit,304395.0,80800000.00,Servicing,50,529,06/24/2013,45.00,N/A,6
Ogilvie Block,Columbiana,43920,Ohio Historic Preservation Tax Credit,1565314.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
Hotel Ashtabula,Ashtabula,44024,Ohio Historic Preservation Tax Credit,639350.0,N/A,Completed,N/A,N/A,12/22/2011,N/A,N/A,N/A
"IML Containers Ohio, Inc.",Stark,44721-3734,JCTC Job Creation Tax Credit,185000.0,21350000.00,Approved,80,0,09/24/2018,N/A,1.129,7
Midmark Corporation,Darke,45380-9488,JCTC Job Creation Tax Credit,785000.0,4500000.00,Servicing,99,1002,01/27/2020,N/A,1.642,8
"Masters Pharmaceutical, Inc.",Butler,45243,JCTC Job Creation Tax Credit,122638.0,875416.00,Completed,70,0,07/26/2010,45.00,N/A,6
Zaner-Bloser Inc,Franklin,43212,JCTC Job Creation Tax Credit,68000.0,0.00,Servicing,25,64,08/29/2016,N/A,1.103,5
Complion Inc.,Cuyahoga,44113,JCTC Job Creation Tax Credit,420000.0,0.00,Servicing,75,28,07/29/2019,N/A,1.532,7
Olney House and Gallery,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,794551.0,N/A,Completed,N/A,N/A,12/28/2007,N/A,N/A,N/A
Hubbard Cooke Building,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,555000.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
Gund Brewing/Scott Drug Building,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,249999.0,N/A,Completed,N/A,N/A,06/30/2015,N/A,N/A,N/A
Ohio City Post Office,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,522376.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
SK Infrared,Franklin,43212-1180,JCTC Job Creation Tax Credit,110000.0,0.00,Cancelled,19,0,05/22/2017,N/A,1.455,6
Adams Bag Company Paper Mill,Cuyahoga,44022,Ohio Historic Preservation Tax Credit,1650195.0,N/A,Cancelled,N/A,N/A,06/26/2013,N/A,N/A,N/A
Process Equipment Co. of Tipp City,Miami,45371,JCTC Job Creation Tax Credit,117415.0,5500000.00,Completed,62,130,04/25/2011,45.00,N/A,4
"Total Quality Logistics, LLC",Clermont,,JCTC Job Creation Tax Credit,6400000.0,18000000.00,Servicing,1000,2000,03/02/2022,N/A,1.502,9
1735 Vine,Hamilton,,Ohio Historic Preservation Tax Credit,209000.0,N/A,Servicing,N/A,N/A,12/19/2019,N/A,N/A,N/A
Niagara Bottling LLC,Franklin,43230-8600,JCTC Job Creation Tax Credit,332671.0,49850000.00,Servicing,73,0,08/27/2012,60.00,N/A,7
zulily LLC,Franklin,43230,JCTC Job Creation Tax Credit,6192066.0,0.00,Servicing,400,0,07/28/2014,N/A,1.750,8
"Sedgwick Claims Management Services, Inc.",Cuyahoga,44131-2540,JCTC Job Creation Tax Credit,108271.0,1798000.00,Servicing,286,249,07/30/2012,50.00,N/A,8
"Total Quality Logistics, LLC",Cuyahoga,44131,JCTC Job Creation Tax Credit,197329.0,50000.00,Completed,75,0,07/30/2012,45.00,N/A,6
"Jo-Ann Stores, Inc.",Madison,43162,JCTC Job Creation Tax Credit,525000.0,13000000.00,Servicing,175,0,01/25/2021,N/A,1.192,8
Octal Extrusion Corporation,Butler,45246,JCTC Job Creation Tax Credit,98083.0,10000000.00,Servicing,52,0,03/31/2014,N/A,0.946,7
"CTL-Aerospace, Inc.",Butler,45246-4898,JCTC Job Creation Tax Credit,120000.0,4500000.00,Servicing,46,225,06/01/2015,50.00,N/A,7
Akron Masonic Temple,Warren,44308,Ohio Historic Preservation Tax Credit,,N/A,Cancelled,N/A,N/A,12/20/2013,N/A,N/A,N/A
Hensville,Lucas,43604,Ohio Historic Preservation Tax Credit,3979978.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
"Bitwise Industries, Inc.",Lucas,43604,JCTC Job Creation Tax Credit,3500000.0,19980874.00,Approved,378,0,08/23/2021,N/A,1.843,10
"ANC, LLC",Greene,45324,JCTC Job Creation Tax Credit,80803.0,7850000.00,Cancelled,27,52,03/25/2013,45.00,N/A,6
Born Capital Brewery Bottle Works,Franklin,43215,Ohio Historic Preservation Tax Credit,1250000.0,N/A,Completed,N/A,N/A,12/10/2009,N/A,N/A,N/A
Navigator Management Partners Limited Liability Company,Franklin,43215-5627,JCTC Job Creation Tax Credit,269564.0,800000.00,Completed,19,43,01/26/2009,N/A,N/A,6
"Engauge Marketing, LLC",Franklin,43215-2232,JCTC Job Creation Tax Credit,234411.0,300000.00,Completed,50,76,10/27/2008,N/A,N/A,5
Hexion Inc.,Franklin,43215,JCTC Job Creation Tax Credit,3852727.0,980000.00,Completed,100,298,01/31/2011,60.00,N/A,6
"CMG Strategy Co., LLC",Franklin,43215,JCTC Job Creation Tax Credit,5000000.0,375000.00,Servicing,274,82,09/24/2018,N/A,2.294,10
"Coastal Ridge Management, LLC",Franklin,43215,JCTC Job Creation Tax Credit,850000.0,0.00,Servicing,80,68,09/30/2019,N/A,1.858,8
Seneca Hotel,Franklin,43215,Ohio Historic Preservation Tax Credit,3938044.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
"Barkbox, Inc.",Franklin,43215,JCTC Job Creation Tax Credit,3560000.0,0.00,Approved,500,249,10/04/2021,N/A,1.726,10
"VXI Global Solutions, LLC",Stark,44702,JCTC Job Creation Tax Credit,1099719.0,1769350.00,Completed,568,0,04/25/2011,60.00,N/A,7
"JM Consolidated Industries, LLC",Clark,45505,JCTC Job Creation Tax Credit,66424.0,1560000.00,Completed,30,46,03/28/2011,40.00,N/A,6
St. Michael Complex,Hamilton,45204,Ohio Historic Preservation Tax Credit,1334632.0,N/A,Completed,N/A,N/A,12/22/2011,N/A,N/A,N/A
"Meyer Tool, Inc.",Hamilton,45204-1904,JCTC Job Creation Tax Credit,928588.0,3580000.00,Completed,50,586,01/30/2012,45.00,N/A,5
The Brewer-Garrett Company,Cuyahoga,44130-2426,JCTC Job Creation Tax Credit,64229.0,3264900.00,Completed,16,68,07/30/2012,30.00,N/A,5
Old Home Bank Building,Licking,43055,Ohio Historic Preservation Tax Credit,431260.0,N/A,Cancelled,N/A,N/A,07/25/2011,N/A,N/A,N/A
Synova LLC,Richland,44903-8111,JCTC Job Creation Tax Credit,110000.0,5000000.00,Cancelled,20,15,08/30/2017,N/A,1.440,6
"PENTAFLEX, INC.",Clark,45502-8867,JCTC Job Creation Tax Credit,83000.0,4109271.00,Servicing,40,106,04/27/2015,N/A,1.018,3
"DOLE FRESH VEGETABLES, INC.",Clark,45502,JCTC Job Creation Tax Credit,283958.0,6000000.00,Servicing,138,611,08/25/2014,N/A,0.989,9
Kaydon Corporation,Lorain,44011-1337,JCTC Job Creation Tax Credit,44259.0,8998023.00,Completed,29,58,12/10/2012,40.00,N/A,5
Safeguard Properties Management LLC,Lake,44060-4852,JCTC Job Creation Tax Credit,1099949.0,N/A,Completed,50,134,09/24/2012,55.00,N/A,7
Morgan Stanley Smith Barney LLC,Franklin,43219-6234,JCTC Job Creation Tax Credit,1863502.0,1800000.00,Servicing,250,162,04/25/2011,60.00,N/A,8
"Simonton Building Products, Inc.",Franklin,43219-6095,JCTC Job Creation Tax Credit,1230317.0,1112440.00,Completed,85,0,02/28/2011,55.00,N/A,8
"LUBRICATION SPECIALTIES, LLC",Morrow,43338,JCTC Job Creation Tax Credit,27868.0,1950000.00,Servicing,20,14,10/27/2014,N/A,0.904,5
Wick Building,Mahoning,44503,Ohio Historic Preservation Tax Credit,3529993.0,N/A,Completed,N/A,N/A,03/13/2008,N/A,N/A,N/A
Federal Building,Mahoning,44503-1302,Ohio Historic Preservation Tax Credit,445884.0,N/A,Completed,N/A,N/A,06/30/2010,N/A,N/A,N/A
"VXI Global Solutions, LLC",Mahoning,44503,JCTC Job Creation Tax Credit,457830.0,5200000.00,Completed,1000,0,09/28/2009,N/A,N/A,5
Welsh Presbyterian Church,Franklin,43215,Ohio Historic Preservation Tax Credit,346250.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
"U.S. Cotton, LLC",Cuyahoga,44135-3313,JCTC Job Creation Tax Credit,694370.0,9900000.00,Completed,250,255,12/06/2010,55.00,N/A,7
THERMO FISHER SCIENTIFIC (ASHVILLE) LLC,Washington,45750,JCTC Job Creation Tax Credit,328832.0,1700000.00,Completed,116,480,12/07/2009,50.00,N/A,7
620-622 Vine Street,Hamilton,,Ohio Historic Preservation Tax Credit,249000.0,N/A,Servicing,N/A,N/A,06/28/2017,N/A,N/A,N/A
The Barrister 214,Hamilton,,Ohio Historic Preservation Tax Credit,173443.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
Central School,Lorain,,Ohio Historic Preservation Tax Credit,1497000.0,N/A,Completed,N/A,N/A,12/19/2017,N/A,N/A,N/A
"Hims Health and Wellness (Hims, Inc.)",Franklin,,JCTC Job Creation Tax Credit,3200000.0,1500000.00,Servicing,500,0,09/30/2019,N/A,1.652,10
Champion Paper No. 2 Mill,Butler,,Ohio Historic Preservation Tax Credit,4795000.0,N/A,Servicing,N/A,N/A,06/20/2018,N/A,N/A,N/A
Infinity Labs LLC,Montgomery,45402,JCTC Job Creation Tax Credit,3000000.0,17261849.00,Servicing,160,20,04/25/2022,N/A,2.028,9
CareSource,Montgomery,45402-2024,JCTC Job Creation Tax Credit,609813.0,42391000.00,Servicing,1920,980,05/21/2012,40.00,N/A,10
Weustoff and Getz Building,Montgomery,45402,Ohio Historic Preservation Tax Credit,1925000.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
Catalina Tempering-Ohio Inc.,Licking,43080-9004,JCTC Job Creation Tax Credit,75032.0,3820000.00,Cancelled,50,0,01/31/2011,40.00,N/A,6
"Advanced Ground Systems Engineering, LLC",Hamilton,45215,JCTC Job Creation Tax Credit,178000.0,150000.00,Servicing,15,1,03/30/2015,N/A,1.500,5
Nitto Denko Avecia Inc.,Hamilton,45215,JCTC Job Creation Tax Credit,68394.0,1000000.00,Servicing,15,63,03/30/2015,N/A,1.244,5
"KEIHIN THERMAL TECHNOLOGY OF AMERICA, INC.",Madison,43143,JCTC Job Creation Tax Credit,207547.0,2500000.00,Servicing,90,245,04/28/2014,N/A,1.092,7
xperion E & E USA LLC,Licking,43056,JCTC Job Creation Tax Credit,173089.0,5919815.00,Completed,45,0,10/28/2013,40.00,N/A,7
InXite Health Systems Inc,Franklin,43235,JCTC Job Creation Tax Credit,475000.0,0.00,Completed,100,8,04/24/2017,N/A,1.477,7
"FacilitySource, LLC",Franklin,43235,JCTC Job Creation Tax Credit,154000.0,0.00,Cancelled,125,280,12/15/2015,N/A,0.915,6
"Safelite Group, Inc.",Franklin,43235-2762,JCTC Job Creation Tax Credit,1712030.0,14400000.00,Servicing,350,1018,04/29/2013,65.00,N/A,8
Corbus LLC,Montgomery,45342-4587,JCTC Job Creation Tax Credit,393447.0,320000.00,Completed,58,40,05/21/2012,50.00,N/A,6
"buyCastings.com, Inc.",Montgomery,45342,JCTC Job Creation Tax Credit,205167.0,1500000.00,Completed,65,0,09/29/2008,N/A,N/A,4
"Nautilus Hyosung America, Inc.",Montgomery,45342,JCTC Job Creation Tax Credit,159017.0,350000.00,Completed,30,0,09/27/2010,45.00,N/A,5
"Checkpoint Surgical, Inc.",Cuyahoga,44122,JCTC Job Creation Tax Credit,200000.0,100000.00,Servicing,18,17,01/27/2020,N/A,1.625,7
Eaton Corporation,Cuyahoga,44122-2253,JRTC-NR Job Retention Tax Credit Non-Refundable,30417493.0,115000000.00,Servicing,0,1000,10/27/2008,N/A,N/A,15
Rotek Incorporated (Thyssenkrupp),Portage,44202-9282,JCTC Job Creation Tax Credit,1050067.0,81000000.00,Completed,150,215,03/31/2008,N/A,N/A,6
"Resonetics, LLC",Montgomery,45420-1172,JCTC Job Creation Tax Credit,570000.0,7626330.00,Approved,95,150,05/24/2021,N/A,1.493,8
"OHI Greenhouse, LLC",Clinton,45177,JCTC Job Creation Tax Credit,90000.0,10000000.00,Servicing,25,0,12/05/2016,N/A,1.779,5
"DealerTrack Digital Services, Inc.",Clinton,45177,JCTC Job Creation Tax Credit,478557.0,1750000.00,Servicing,213,45,03/25/2013,50.00,N/A,7
Ahresty Wilmington Corporation,Clinton,45177-2926,JCTC Job Creation Tax Credit,74443.0,6000000.00,Completed,43,399,09/26/2011,45.00,N/A,6
"Alkermes, Inc.",Clinton,45177-2484,JCTC Job Creation Tax Credit,284000.0,18923000.00,Servicing,201,277,01/26/2015,N/A,1.400,9
DimcoGray Corporation,Montgomery,45458-2710,JCTC Job Creation Tax Credit,70566.0,321000.00,Completed,33,50,06/28/2010,45.00,N/A,3
NI Medical Ltd.,Summit,44311-4401,JCTC Job Creation Tax Credit,117623.0,130000.00,Cancelled,25,0,01/25/2010,40.00,N/A,6
"Market Track, LLC",Cuyahoga,44122,JCTC Job Creation Tax Credit,135000.0,0.00,Completed,65,70,02/24/2020,N/A,1.177,6
Halle Building,Cuyahoga,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,12/20/2016,N/A,N/A,N/A
Holland Theatre,Logan,,Ohio Historic Preservation Tax Credit,235000.0,N/A,Completed,N/A,N/A,06/26/2019,N/A,N/A,N/A
Columbus Electrical Works,Franklin,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,12/12/2018,N/A,N/A,N/A
Moreland House,Cuyahoga,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,12/17/2020,N/A,N/A,N/A
Tinnerman Steel Range Co.,Cuyahoga,,Ohio Historic Preservation Tax Credit,1696947.0,N/A,Completed,N/A,N/A,06/26/2019,N/A,N/A,N/A
St. Michael School,Cuyahoga,,Ohio Historic Preservation Tax Credit,1360000.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
1931 Freeman Avenue,Hamilton,,Ohio Historic Preservation Tax Credit,141000.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
Budd Dairy and 174 Detroit,Franklin,,Ohio Historic Preservation Tax Credit,1999000.0,N/A,Completed,N/A,N/A,12/20/2016,N/A,N/A,N/A
Ambassador Apartments,Hamilton,45229,Ohio Historic Preservation Tax Credit,913751.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
Haddon Hall Apartments,Hamilton,45229,Ohio Historic Preservation Tax Credit,1150000.0,N/A,Completed,N/A,N/A,12/22/2011,N/A,N/A,N/A
"Dedienne Aerospace, LLC",Clermont,45103,JCTC Job Creation Tax Credit,200000.0,5000000.00,Cancelled,40,0,12/04/2017,N/A,1.433,8
"Global Scrap Management, Inc.",Clermont,45103-3246,JCTC Job Creation Tax Credit,106748.0,1524000.00,Completed,30,2,06/27/2011,35.00,N/A,5
Multi-Color Corporation,Hamilton,45103,JCTC Job Creation Tax Credit,415317.0,56817500.00,Servicing,230,395,12/03/2014,N/A,1.950,9
Nestle Purina Petcare Company,Clermont,45103,JCTC Job Creation Tax Credit,2000000.0,550000000.00,Servicing,300,0,10/26/2020,N/A,1.714,10
Nelsonville High School,Athens,45764,Ohio Historic Preservation Tax Credit,1999999.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
"Realeflow, LLC",Medina,44212-1116,JCTC Job Creation Tax Credit,58997.0,950000.00,Cancelled,15,21,04/29/2013,35.00,N/A,6
"Frank Brunckhorst Co., LLC",Franklin,43125-9036,JCTC Job Creation Tax Credit,249131.0,20475000.00,Completed,93,0,02/28/2011,50.00,N/A,7
Lululemon USA Inc.,Franklin,43125,JCTC Job Creation Tax Credit,700000.0,17500000.00,Approved,150,209,10/04/2021,N/A,1.454,8
"Owens & Minor Distribution, Inc",Franklin,43125-9297,JCTC Job Creation Tax Credit,133000.0,1585000.00,Servicing,45,0,12/04/2017,N/A,1.150,5
"Max-Wellness, LLC",Cuyahoga,44128-5794,JCTC Job Creation Tax Credit,1108390.0,60000.00,Completed,150,9,04/27/2009,N/A,N/A,5
Templin-Bradley Company Building,Cuyahoga,44102,Ohio Historic Preservation Tax Credit,1672529.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
"RevWires, LLC",Clark,45373,JCTC Job Creation Tax Credit,376241.0,6700000.00,Cancelled,50,0,10/27/2008,N/A,N/A,7
"Riverside Computing, Inc.",Miami,45373,JCTC Job Creation Tax Credit,55006.0,562336.00,Cancelled,20,28,09/30/2013,35.00,N/A,6
"General Pet Supply Ohio Valley, LLC",Montgomery,45414-2527,JCTC Job Creation Tax Credit,51182.0,500000.00,Completed,45,0,02/27/2012,40.00,N/A,5
"HARRIS, MACKESSY & BRENNAN, INC.",Delaware,43082,JCTC Job Creation Tax Credit,588056.0,0.00,Servicing,75,135,12/02/2013,45.00,N/A,7
"Atlantic Pacific Equipment, Inc.",Marion,43302,JCTC Job Creation Tax Credit,36000.0,100000.00,Cancelled,10,0,10/26/2015,N/A,1.116,5
"Central Machinery Company, LLC",Marion,43302-8873,JCTC Job Creation Tax Credit,325000.0,8400000.00,Servicing,55,54,01/29/2018,N/A,1.438,7
"Element Materials Technology Cincinnati, Inc.",Hamilton,45241-1923,JCTC Job Creation Tax Credit,113296.0,7000000.00,Cancelled,42,18,06/24/2013,40.00,N/A,6
CC Kitchens LLC,Hamilton,45241-1601,JCTC Job Creation Tax Credit,827000.0,1750000.00,Completed,355,5,03/28/2016,N/A,1.214,8
ORBIS Corporation Of Wisconsin (ORBIS Corporation),Champaign,43078,JCTC Job Creation Tax Credit,185000.0,38200000.00,Servicing,46,324,09/26/2022,N/A,1.261,6
RITTAL NORTH AMERICA LLC,Champaign,43078-5003,JCTC Job Creation Tax Credit,347752.0,6666190.00,Completed,118,537,07/25/2011,55.00,N/A,4
"Cooper Hatchery, Inc.",Mercer,45846,JCTC Job Creation Tax Credit,94718.0,4669380.00,Servicing,41,0,03/31/2014,N/A,1.100,6
Consolidated Fruit Auction Company Building,Cuyahoga,,Ohio Historic Preservation Tax Credit,815000.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
Switzer Apartment Building,Cuyahoga,,Ohio Historic Preservation Tax Credit,100000.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
Levinson Building,Summit,,Ohio Historic Preservation Tax Credit,156727.0,N/A,Completed,N/A,N/A,12/12/2018,N/A,N/A,N/A
56 East McMicken REAR,Hamilton,,Ohio Historic Preservation Tax Credit,101405.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
